# low high Invariant Statistical Systematic
0.6 0.7 0.4210 8e-4 0.04
0.7 0.8 0.2560 6e-4 0.025
0.8 0.9 0.1630 4e-4 0.016
0.9 1 0.10400 3.2e-4 0.010
1 1.1 0.06910 2.4e-4 0.007
1.1 1.2 0.04670 1.9e-4 0.005
1.2 1.3 0.03190 1.5e-4 0.0031
1.3 1.4 0.02230 1.2e-4 0.0022
1.4 1.5 0.01550 9e-5 0.0015
1.5 1.6 0.01110 8e-5 0.0011
1.6 1.7 0.00798 6e-5 8e-4
1.7 1.8 0.00596 5e-5 6e-4
1.8 1.9 0.00433 4e-5 4e-4
1.9 2 0.00321 4e-5 3.1e-4
2 2.1 0.002310 3.0e-5 2.2e-4
2.1 2.2 0.001770 2.6e-5 1.7e-4
2.2 2.3 0.001320 2.1e-5 1.3e-4
2.3 2.4 9.99e-4 1.8e-5 1.0e-4
2.4 2.5 8.09e-4 1.6e-5 8e-5
2.5 2.6 5.96e-4 1.3e-5 6e-5
2.6 2.7 4.83e-4 1.2e-5 5e-5
2.7 2.8 3.60e-4 1.0e-5 3.5e-5
2.8 2.9 2.80e-4 9e-6 2.7e-5
2.9 3 2.24e-4 8e-6 2.2e-5
3 3.1 1.71e-4 6e-6 1.7e-5
3.1 3.2 1.28e-4 5e-6 1.2e-5
3.2 3.3 1.15e-4 5e-6 1.1e-5
3.3 3.4 9.6e-5 5e-6 9e-6
3.4 3.5 6.7e-5 4e-6 6e-6
3.5 3.6 6.00e-5 3.5e-6 6e-6
3.6 3.7 4.52e-5 3.0e-6 4e-6
3.7 3.8 4.01e-5 2.8e-6 4e-6
3.8 3.9 3.49e-5 2.6e-6 3.4e-6
3.9 4 2.48e-5 2.1e-6 2.4e-6
4 4.1 1.90e-5 1.8e-6 1.9e-6
4.1 4.2 2.14e-5 2.0e-6 2.1e-6
4.2 4.3 1.14e-5 1.3e-6 1.1e-6
4.3 4.4 1.24e-5 1.4e-6 1.2e-6
4.4 4.5 7.1e-6 1.0e-6 7e-7
4.5 4.6 7.8e-6 1.1e-6 8e-7
4.6 4.7 8.7e-6 1.2e-6 8e-7
4.7 4.8 5.4e-6 9e-7 5e-7
4.8 4.9 5.5e-6 9e-7 5e-7
4.9 5 4.6e-6 8e-7 5e-7
5 5.5 3.67e-6 3.0e-7 4e-7
5.5 6 1.50e-6 1.7e-7 1.5e-7
6 6.5 7.9e-7 1.2e-7 8e-8
6.5 7 4.9e-7 9e-8 6e-8
7 7.5 1.92e-7 6e-8 2.7e-8
7.5 8.5 9.7e-8 2.5e-8 1.5e-8
8.5 9.5 4.8e-8 2.0e-8 1.0e-8
