# low high Invariant Statistical Systematic
0.6 0.7 1.1100 0.0016 0.10
0.7 0.8 0.6980 0.0011 0.06
0.8 0.9 0.4600 8e-4 0.04
0.9 1 0.3040 6e-4 0.028
1 1.1 0.2090 5e-4 0.019
1.1 1.2 0.1460 4e-4 0.014
1.2 1.3 0.10200 3.1e-4 0.009
1.3 1.4 0.07270 2.5e-4 0.007
1.4 1.5 0.05200 2.0e-4 0.005
1.5 1.6 0.03820 1.7e-4 0.0035
1.6 1.7 0.02780 1.4e-4 0.0026
1.7 1.8 0.02090 1.2e-4 0.0019
1.8 1.9 0.01540 1.0e-4 0.0014
1.9 2 0.01150 8e-5 0.0011
2 2.1 0.00868 7e-5 8e-4
2.1 2.2 0.00647 6e-5 6e-4
2.2 2.3 0.00500 5e-5 5e-4
2.3 2.4 0.00381 4e-5 3.5e-4
2.4 2.5 0.00297 4e-5 2.8e-4
2.5 2.6 0.002270 3.1e-5 2.1e-4
2.6 2.7 0.001800 2.7e-5 1.7e-4
2.7 2.8 0.001420 2.4e-5 1.3e-4
2.8 2.9 0.001080 2.0e-5 1.0e-4
2.9 3 8.67e-4 1.8e-5 8e-5
3 3.1 7.02e-4 1.6e-5 7e-5
3.1 3.2 5.35e-4 1.3e-5 5e-5
3.2 3.3 4.13e-4 1.2e-5 4e-5
3.3 3.4 3.27e-4 1.0e-5 3.0e-5
3.4 3.5 2.57e-4 9e-6 2.4e-5
3.5 3.6 2.31e-4 8e-6 2.1e-5
3.6 3.7 1.68e-4 7e-6 1.6e-5
3.7 3.8 1.52e-4 6e-6 1.4e-5
3.8 3.9 1.30e-4 6e-6 1.2e-5
3.9 4 1.01e-4 5e-6 9e-6
4 4.1 8.5e-5 5e-6 8e-6
4.1 4.2 7.2e-5 4e-6 7e-6
4.2 4.3 5.8e-5 4e-6 5e-6
4.3 4.4 4.15e-5 3.1e-6 4e-6
4.4 4.5 3.91e-5 3.0e-6 4e-6
4.5 4.6 3.49e-5 2.7e-6 3.2e-6
4.6 4.7 2.60e-5 2.3e-6 2.4e-6
4.7 4.8 2.09e-5 2.1e-6 2.0e-6
4.8 4.9 1.99e-5 2.0e-6 1.9e-6
4.9 5 1.50e-5 1.6e-6 1.4e-6
5 5.5 1.07e-5 6e-7 1.0e-6
5.5 6 3.47e-6 2.9e-7 3.5e-7
6 6.5 2.73e-6 2.5e-7 2.7e-7
6.5 7 1.76e-6 2.0e-7 1.7e-7
7 7.5 7.3e-7 1.0e-7 9e-8
7.5 8.5 3.4e-7 5e-8 5e-8
8.5	9.5	NaN	NaN	NaN
