low	high	Invariant	Statistical	Systematic
0.6	0.7	4.21E-01	8.13E-04	4.08E-02
0.7	0.8	2.56E-01	5.74E-04	2.48E-02
0.8	0.9	1.63E-01	4.23E-04	1.57E-02
0.9	1	1.04E-01	3.15E-04	1.01E-02
1	1.1	6.91E-02	2.41E-04	6.69E-03
1.1	1.2	4.67E-02	1.88E-04	4.52E-03
1.2	1.3	3.19E-02	1.47E-04	3.08E-03
1.3	1.4	2.23E-02	1.17E-04	2.16E-03
1.4	1.5	1.55E-02	9.36E-05	1.50E-03
1.5	1.6	1.11E-02	7.66E-05	1.08E-03
1.6	1.7	7.98E-03	6.26E-05	7.73E-04
1.7	1.8	5.96E-03	5.28E-05	5.77E-04
1.8	1.9	4.33E-03	4.34E-05	4.19E-04
1.9	2	3.21E-03	3.65E-05	3.11E-04
2	2.1	2.31E-03	2.98E-05	2.24E-04
2.1	2.2	1.77E-03	2.55E-05	1.71E-04
2.2	2.3	1.32E-03	2.13E-05	1.28E-04
2.3	2.4	9.99E-04	1.82E-05	9.68E-05
2.4	2.5	8.09E-04	1.62E-05	7.83E-05
2.5	2.6	5.96E-04	1.34E-05	5.78E-05
2.6	2.7	4.83E-04	1.19E-05	4.68E-05
2.7	2.8	3.60E-04	1.00E-05	3.48E-05
2.8	2.9	2.80E-04	8.62E-06	2.71E-05
2.9	3	2.24E-04	7.55E-06	2.17E-05
3	3.1	1.71E-04	6.49E-06	1.65E-05
3.1	3.2	1.28E-04	5.49E-06	1.24E-05
3.2	3.3	1.15E-04	5.07E-06	1.12E-05
3.3	3.4	9.63E-05	4.62E-06	9.32E-06
3.4	3.5	6.67E-05	3.74E-06	6.46E-06
3.5	3.6	6.00E-05	3.52E-06	5.81E-06
3.6	3.7	4.52E-05	2.98E-06	4.39E-06
3.7	3.8	4.01E-05	2.78E-06	3.88E-06
3.8	3.9	3.49E-05	2.56E-06	3.38E-06
3.9	4	2.48E-05	2.13E-06	2.41E-06
4	4.1	1.90E-05	1.83E-06	1.85E-06
4.1	4.2	2.14E-05	1.96E-06	2.07E-06
4.2	4.3	1.14E-05	1.33E-06	1.12E-06
4.3	4.4	1.24E-05	1.39E-06	1.21E-06
4.4	4.5	7.08E-06	1.04E-06	6.95E-07
4.5	4.6	7.80E-06	1.07E-06	7.62E-07
4.6	4.7	8.67E-06	1.17E-06	8.45E-07
4.7	4.8	5.37E-06	8.86E-07	5.29E-07
4.8	4.9	5.52E-06	9.04E-07	5.42E-07
4.9	5	4.61E-06	8.15E-07	4.53E-07
5	5.5	3.67E-06	3.00E-07	3.63E-07
5.5	6	1.50E-06	1.66E-07	1.52E-07
6	6.5	7.90E-07	1.16E-07	8.48E-08
6.5	7	4.87E-07	9.00E-08	5.54E-08
7	7.5	1.92E-07	5.61E-08	2.66E-08
7.5	8.5	9.71E-08	2.52E-08	1.52E-08
8.5	9.5	4.78E-08	2.01E-08	9.61E-09
