# low high Invariant Statistical Systematic
0.6 0.7 0.7950 0.0014 0.07
0.7 0.8 0.4990 0.0010 0.05
0.8 0.9 0.3240 7e-4 0.030
0.9 1 0.2130 5e-4 0.020
1 1.1 0.1440 4e-4 0.013
1.1 1.2 0.09960 3.3e-4 0.009
1.2 1.3 0.06900 2.6e-4 0.006
1.3 1.4 0.04890 2.1e-4 0.005
1.4 1.5 0.03460 1.7e-4 0.0032
1.5 1.6 0.02510 1.4e-4 0.0023
1.6 1.7 0.01830 1.2e-4 0.0017
1.7 1.8 0.01360 1.0e-4 0.0013
1.8 1.9 0.00993 8e-5 9e-4
1.9 2 0.00754 7e-5 7e-4
2 2.1 0.00557 6e-5 5e-4
2.1 2.2 0.00426 5e-5 4e-4
2.2 2.3 0.00318 4e-5 3.0e-4
2.3 2.4 0.002430 3.4e-5 2.3e-4
2.4 2.5 0.001930 3.0e-5 1.8e-4
2.5 2.6 0.001500 2.6e-5 1.4e-4
2.6 2.7 0.001120 2.2e-5 1.0e-4
2.7 2.8 8.89e-4 1.9e-5 8e-5
2.8 2.9 6.93e-4 1.6e-5 6e-5
2.9 3 5.69e-4 1.5e-5 5e-5
3 3.1 4.19e-4 1.2e-5 4e-5
3.1 3.2 3.23e-4 1.1e-5 3.0e-5
3.2 3.3 2.66e-4 9e-6 2.5e-5
3.3 3.4 2.11e-4 8e-6 2.0e-5
3.4 3.5 1.55e-4 7e-6 1.4e-5
3.5 3.6 1.42e-4 7e-6 1.3e-5
3.6 3.7 1.12e-4 6e-6 1.0e-5
3.7 3.8 9.6e-5 5e-6 9e-6
3.8 3.9 8.1e-5 5e-6 7e-6
3.9 4 6.0e-5 4e-6 6e-6
4 4.1 4.69e-5 3.5e-6 4e-6
4.1 4.2 4.00e-5 3.1e-6 4e-6
4.2 4.3 3.61e-5 3.0e-6 3.4e-6
4.3 4.4 2.97e-5 2.7e-6 2.8e-6
4.4 4.5 2.40e-5 2.3e-6 2.3e-6
4.5 4.6 1.92e-5 2.0e-6 1.8e-6
4.6 4.7 1.84e-5 2.0e-6 1.7e-6
4.7 4.8 1.21e-5 1.4e-6 1.2e-6
4.8 4.9 8.2e-6 1.3e-6 8e-7
4.9 5 1.12e-5 1.5e-6 1.1e-6
5 5.5 6.9e-6 5e-7 7e-7
5.5 6 3.23e-6 3.0e-7 3.2e-7
6 6.5 1.43e-6 1.8e-7 1.5e-7
6.5 7 8.9e-7 1.4e-7 1.0e-7
7 7.5 5.4e-7 1.1e-7 7e-8
7.5 8.5 2.2e-7 4e-8 4e-8
8.5 9.5 6.2e-8 2.5e-8 2.4e-8
