low	high	Invariant	Statistical	Systematic
0.6	0.7	1.50E+00	1.78E-03	1.46E-01
0.7	0.8	9.55E-01	1.29E-03	9.30E-02
0.8	0.9	6.33E-01	9.69E-04	6.17E-02
0.9	1	4.22E-01	7.35E-04	4.11E-02
1	1.1	2.92E-01	5.75E-04	2.84E-02
1.1	1.2	2.05E-01	4.57E-04	2.00E-02
1.2	1.3	1.45E-01	3.64E-04	1.41E-02
1.3	1.4	1.03E-01	2.94E-04	1.01E-02
1.4	1.5	7.41E-02	2.38E-04	7.22E-03
1.5	1.6	5.46E-02	1.97E-04	5.32E-03
1.6	1.7	4.04E-02	1.64E-04	3.93E-03
1.7	1.8	2.99E-02	1.37E-04	2.92E-03
1.8	1.9	2.25E-02	1.15E-04	2.19E-03
1.9	2	1.71E-02	9.78E-05	1.66E-03
2	2.1	1.26E-02	8.06E-05	1.22E-03
2.1	2.2	9.59E-03	6.89E-05	9.34E-04
2.2	2.3	7.25E-03	5.82E-05	7.06E-04
2.3	2.4	5.64E-03	5.02E-05	5.49E-04
2.4	2.5	4.38E-03	4.37E-05	4.27E-04
2.5	2.6	3.32E-03	3.69E-05	3.23E-04
2.6	2.7	2.63E-03	3.22E-05	2.56E-04
2.7	2.8	2.01E-03	2.75E-05	1.96E-04
2.8	2.9	1.59E-03	2.38E-05	1.55E-04
2.9	3	1.23E-03	2.07E-05	1.20E-04
3	3.1	9.97E-04	1.82E-05	9.71E-05
3.1	3.2	7.47E-04	1.54E-05	7.28E-05
3.2	3.3	6.28E-04	1.39E-05	6.12E-05
3.3	3.4	4.99E-04	1.22E-05	4.87E-05
3.4	3.5	4.01E-04	1.07E-05	3.91E-05
3.5	3.6	3.17E-04	9.38E-06	3.09E-05
3.6	3.7	2.76E-04	8.62E-06	2.69E-05
3.7	3.8	1.98E-04	7.06E-06	1.93E-05
3.8	3.9	1.72E-04	6.58E-06	1.67E-05
3.9	4	1.48E-04	5.99E-06	1.45E-05
4	4.1	1.16E-04	5.26E-06	1.14E-05
4.1	4.2	8.75E-05	4.46E-06	8.55E-06
4.2	4.3	7.76E-05	4.12E-06	7.58E-06
4.3	4.4	6.07E-05	3.60E-06	5.94E-06
4.4	4.5	5.11E-05	3.28E-06	4.99E-06
4.5	4.6	4.53E-05	3.04E-06	4.42E-06
4.6	4.7	3.70E-05	2.65E-06	3.64E-06
4.7	4.8	3.09E-05	2.42E-06	3.04E-06
4.8	4.9	2.85E-05	2.36E-06	2.79E-06
4.9	5	1.92E-05	1.82E-06	1.90E-06
5	5.5	1.57E-05	7.02E-07	1.57E-06
5.5	6	5.60E-06	3.67E-07	5.67E-07
6	6.5	3.06E-06	2.49E-07	3.19E-07
6.5	7	2.22E-06	2.03E-07	2.32E-07
7	7.5	9.33E-07	1.10E-07	1.18E-07
7.5	8.5	5.19E-07	4.98E-08	7.06E-08
8.5	9.5	2.65E-07	3.28E-08	5.24E-08
