low	high	Invariant	Statistical	Systematic
0.6	0.7	1.11E+00	1.57E-03	1.03E-01
0.7	0.8	6.98E-01	1.13E-03	6.47E-02
0.8	0.9	4.60E-01	8.44E-04	4.26E-02
0.9	1	3.04E-01	6.37E-04	2.81E-02
1	1.1	2.09E-01	4.97E-04	1.93E-02
1.1	1.2	1.46E-01	3.94E-04	1.35E-02
1.2	1.3	1.02E-01	3.12E-04	9.44E-03
1.3	1.4	7.27E-02	2.52E-04	6.73E-03
1.4	1.5	5.20E-02	2.04E-04	4.81E-03
1.5	1.6	3.82E-02	1.69E-04	3.53E-03
1.6	1.7	2.78E-02	1.39E-04	2.58E-03
1.7	1.8	2.09E-02	1.17E-04	1.94E-03
1.8	1.9	1.54E-02	9.70E-05	1.42E-03
1.9	2	1.15E-02	8.20E-05	1.06E-03
2	2.1	8.68E-03	6.84E-05	8.04E-04
2.1	2.2	6.47E-03	5.78E-05	6.00E-04
2.2	2.3	5.00E-03	4.95E-05	4.63E-04
2.3	2.4	3.81E-03	4.22E-05	3.53E-04
2.4	2.5	2.97E-03	3.67E-05	2.75E-04
2.5	2.6	2.27E-03	3.12E-05	2.10E-04
2.6	2.7	1.80E-03	2.72E-05	1.66E-04
2.7	2.8	1.42E-03	2.37E-05	1.32E-04
2.8	2.9	1.08E-03	2.01E-05	9.97E-05
2.9	3	8.67E-04	1.77E-05	8.03E-05
3	3.1	7.02E-04	1.56E-05	6.51E-05
3.1	3.2	5.35E-04	1.33E-05	4.96E-05
3.2	3.3	4.13E-04	1.15E-05	3.83E-05
3.3	3.4	3.27E-04	1.01E-05	3.03E-05
3.4	3.5	2.57E-04	8.70E-06	2.38E-05
3.5	3.6	2.31E-04	8.19E-06	2.14E-05
3.6	3.7	1.68E-04	6.85E-06	1.55E-05
3.7	3.8	1.52E-04	6.36E-06	1.41E-05
3.8	3.9	1.30E-04	5.88E-06	1.20E-05
3.9	4	1.01E-04	5.03E-06	9.37E-06
4	4.1	8.45E-05	4.63E-06	7.84E-06
4.1	4.2	7.17E-05	4.12E-06	6.67E-06
4.2	4.3	5.84E-05	3.70E-06	5.42E-06
4.3	4.4	4.15E-05	3.05E-06	3.86E-06
4.4	4.5	3.91E-05	2.95E-06	3.64E-06
4.5	4.6	3.49E-05	2.74E-06	3.24E-06
4.6	4.7	2.60E-05	2.32E-06	2.44E-06
4.7	4.8	2.09E-05	2.05E-06	1.96E-06
4.8	4.9	1.99E-05	1.97E-06	1.86E-06
4.9	5	1.50E-05	1.63E-06	1.42E-06
5	5.5	1.07E-05	5.98E-07	1.02E-06
5.5	6	3.47E-06	2.92E-07	3.45E-07
6	6.5	2.73E-06	2.54E-07	2.70E-07
6.5	7	1.76E-06	2.03E-07	1.73E-07
7	7.5	7.29E-07	1.04E-07	8.78E-08
7.5	8.5	3.36E-07	4.54E-08	4.81E-08
