# low high Invariant Statistical Systematic
0.6 0.7 1.5000 0.0018 0.15
0.7 0.8 0.9550 0.0013 0.09
0.8 0.9 0.6330 0.0010 0.06
0.9 1 0.4220 7e-4 0.04
1 1.1 0.2920 6e-4 0.028
1.1 1.2 0.2050 5e-4 0.020
1.2 1.3 0.1450 4e-4 0.014
1.3 1.4 0.10300 2.9e-4 0.010
1.4 1.5 0.07410 2.4e-4 0.007
1.5 1.6 0.05460 2.0e-4 0.005
1.6 1.7 0.04040 1.6e-4 0.004
1.7 1.8 0.02990 1.4e-4 0.0029
1.8 1.9 0.02250 1.2e-4 0.0022
1.9 2 0.01710 1.0e-4 0.0017
2 2.1 0.01260 8e-5 0.0012
2.1 2.2 0.00959 7e-5 9e-4
2.2 2.3 0.00725 6e-5 7e-4
2.3 2.4 0.00564 5e-5 5e-4
2.4 2.5 0.00438 4e-5 4e-4
2.5 2.6 0.00332 4e-5 3.2e-4
2.6 2.7 0.002630 3.2e-5 2.6e-4
2.7 2.8 0.002010 2.8e-5 2.0e-4
2.8 2.9 0.001590 2.4e-5 1.6e-4
2.9 3 0.001230 2.1e-5 1.2e-4
3 3.1 9.97e-4 1.8e-5 1.0e-4
3.1 3.2 7.47e-4 1.5e-5 7e-5
3.2 3.3 6.28e-4 1.4e-5 6e-5
3.3 3.4 4.99e-4 1.2e-5 5e-5
3.4 3.5 4.01e-4 1.1e-5 4e-5
3.5 3.6 3.17e-4 9e-6 3.1e-5
3.6 3.7 2.76e-4 9e-6 2.7e-5
3.7 3.8 1.98e-4 7e-6 1.9e-5
3.8 3.9 1.72e-4 7e-6 1.7e-5
3.9 4 1.48e-4 6e-6 1.5e-5
4 4.1 1.16e-4 5e-6 1.1e-5
4.1 4.2 8.8e-5 4e-6 9e-6
4.2 4.3 7.8e-5 4e-6 8e-6
4.3 4.4 6.1e-5 4e-6 6e-6
4.4 4.5 5.11e-5 3.3e-6 5e-6
4.5 4.6 4.53e-5 3.0e-6 4e-6
4.6 4.7 3.70e-5 2.7e-6 4e-6
4.7 4.8 3.09e-5 2.4e-6 3.0e-6
4.8 4.9 2.85e-5 2.4e-6 2.8e-6
4.9 5 1.92e-5 1.8e-6 1.9e-6
5 5.5 1.57e-5 7e-7 1.6e-6
5.5 6 5.6e-6 4e-7 6e-7
6 6.5 3.06e-6 2.5e-7 3.2e-7
6.5 7 2.22e-6 2.0e-7 2.3e-7
7 7.5 9.3e-7 1.1e-7 1.2e-7
7.5 8.5 5.2e-7 5e-8 7e-8
8.5 9.5 2.65e-7 3.3e-8 5e-8
