low	high	R_dAu	stat.	sys.
0.6	0.7	0.696453	0.00190172	0.0223104
0.7	0.8	0.715558	0.00228462	0.0229198
0.8	0.9	0.762342	0.00284486	0.0244174
0.9	1	0.780512	0.00340501	0.0249984
1	1.1	0.809657	0.00409495	0.0259305
1.1	1.2	0.862639	0.00507083	0.0276279
1.2	1.3	0.899058	0.00609115	0.028794
1.3	1.4	0.940238	0.00732901	0.0301123
1.4	1.5	0.944656	0.00838169	0.0302537
1.5	1.6	0.956549	0.00977901	0.0306316
1.6	1.7	1.01936	0.0119173	0.0326474
1.7	1.8	1.03431	0.0136698	0.0331297
1.8	1.9	1.06941	0.0161045	0.0342563
1.9	2	1.06576	0.0181514	0.0341397
2	2.1	1.08858	0.0208069	0.034868
2.1	2.2	1.05569	0.022532	0.0338171
2.2	2.3	1.18573	0.0289691	0.0379817
2.3	2.4	1.14876	0.0313056	0.0368068
2.4	2.5	1.14733	0.035121	0.0367679
2.5	2.6	1.26057	0.0439884	0.0403998
2.6	2.7	1.18449	0.0446668	0.0379585
2.7	2.8	1.20635	0.0502991	0.0386644
2.8	2.9	1.22712	0.0576004	0.0393515
2.9	3	1.36247	0.0737254	0.0436714
3	3.2	1.20458	0.0496658	0.0386218
3.2	3.25	1.2944	0.0687066	0.0415514
3.25	3.55	1.29622	0.0819324	0.0416482
3.55	3.7	1.22407	0.0942704	0.0393156
3.7	4	1.25897	0.107873	0.040487
4	4.25	1.33511	0.120079	0.0431577
4.25	4.6	1.24318	0.140153	0.0406785
4.6	4.9	1.54188	0.268292	0.0524638
4.9	5.75	1.16467	0.182695	0.0446393
5.75	7	1.03671	0.238688	0.0455284
