low	high	R_dAu	stat.	sys.
0.6	0.7	0.90652	0.0027465	0.0290472
0.7	0.8	0.899076	0.00319242	0.0288031
0.8	0.9	0.921403	0.00383402	0.0295134
0.9	1	0.918282	0.00447057	0.0294155
1	1.1	0.916958	0.00519141	0.0293723
1.1	1.2	0.943234	0.00621678	0.0302156
1.2	1.3	0.960901	0.00730602	0.0307826
1.3	1.4	0.98535	0.00862158	0.0315637
1.4	1.5	0.961047	0.009611	0.0307853
1.5	1.6	0.952693	0.0109662	0.0305244
1.6	1.7	1.00002	0.0131659	0.0320409
1.7	1.8	1.00834	0.0150127	0.0322995
1.8	1.9	1.03156	0.0174886	0.0330474
1.9	2	1.01786	0.0195367	0.0326127
2	2.1	0.99239	0.021485	0.0318073
2.1	2.2	0.987748	0.023844	0.0316517
2.2	2.3	1.07205	0.0295483	0.0343778
2.3	2.4	1.02891	0.0317332	0.0330078
2.4	2.5	1.06829	0.0367468	0.0342519
2.5	2.6	1.13183	0.0443732	0.0363299
2.6	2.7	1.08928	0.0461531	0.0349484
2.7	2.8	1.04238	0.0493055	0.033412
2.8	2.9	1.09025	0.0577531	0.0349856
2.9	3	1.20335	0.0726779	0.0386424
3	3.2	0.991565	0.0469027	0.0318771
3.2	3.25	1.26953	0.0744284	0.0408816
3.25	3.55	1.15237	0.0817839	0.0371422
3.55	3.7	1.1289	0.0970964	0.0364347
3.7	4	1.09356	0.10657	0.0353978
4	4.25	1.04526	0.107758	0.0352454
4.25	4.6	0.900632	0.120369	0.0312485
4.6	4.9	1.64728	0.305501	0.0567277
4.9	5.75	1.32757	0.226164	0.0485361
5.75	7	0.998463	0.247838	0.0600149
