low	high	R_dAu	stat.	sys.
0.6	0.7	0.757865	0.00218717	0.0242921
0.7	0.8	0.775314	0.00261165	0.0248444
0.8	0.9	0.813313	0.00320158	0.0260593
0.9	1	0.827507	0.00380358	0.0265137
1	1.1	0.846289	0.0045094	0.0271174
1.1	1.2	0.891798	0.00551859	0.0285763
1.2	1.3	0.92148	0.00657016	0.0295244
1.3	1.4	0.957832	0.00785222	0.0306869
1.4	1.5	0.953331	0.00889997	0.0305559
1.5	1.6	0.954326	0.0102582	0.0305821
1.6	1.7	1.01784	0.0124988	0.032619
1.7	1.8	1.01711	0.0141389	0.0325975
1.8	1.9	1.0475	0.0165829	0.033569
1.9	2	1.05862	0.0189227	0.0339215
2	2.1	1.05739	0.021238	0.0338842
2.1	2.2	1.05343	0.0235809	0.0337528
2.2	2.3	1.14073	0.0292598	0.0365665
2.3	2.4	1.10928	0.0317337	0.0355623
2.4	2.5	1.13094	0.0362587	0.0362605
2.5	2.6	1.25901	0.0458352	0.0403522
2.6	2.7	1.11398	0.0441954	0.0357447
2.7	2.8	1.1418	0.0500071	0.0366344
2.8	2.9	1.19736	0.0588099	0.0383934
2.9	3	1.35446	0.0762049	0.043527
3	3.2	1.09386	0.0476103	0.0351668
3.2	3.25	1.26293	0.0700265	0.0406127
3.25	3.55	1.19498	0.079478	0.0384715
3.55	3.7	1.22485	0.0979362	0.0396455
3.7	4	1.15569	0.104542	0.0374444
4	4.25	1.14964	0.109413	0.037508
4.25	4.6	1.18371	0.139696	0.0397329
4.6	4.9	1.44563	0.258544	0.051487
4.9	5.75	1.31366	0.209471	0.0485129
5.75	7	0.801604	0.192488	0.0490224
