# low high R_dAu stat. sys.
0.6 0.7 0.7579 0.0022 0.024
0.7 0.8 0.7753 0.0026 0.025
0.8 0.9 0.8133 0.0032 0.026
0.9 1 0.828 0.004 0.027
1 1.1 0.846 0.005 0.027
1.1 1.2 0.892 0.006 0.029
1.2 1.3 0.921 0.007 0.030
1.3 1.4 0.958 0.008 0.031
1.4 1.5 0.953 0.009 0.031
1.5 1.6 0.954 0.010 0.031
1.6 1.7 1.018 0.012 0.033
1.7 1.8 1.017 0.014 0.033
1.8 1.9 1.048 0.017 0.034
1.9 2 1.059 0.019 0.034
2 2.1 1.057 0.021 0.034
2.1 2.2 1.053 0.024 0.034
2.2 2.3 1.141 0.029 0.04
2.3 2.4 1.109 0.032 0.04
2.4 2.5 1.13 0.04 0.04
2.5 2.6 1.26 0.05 0.04
2.6 2.7 1.11 0.04 0.04
2.7 2.8 1.14 0.05 0.04
2.8 2.9 1.20 0.06 0.04
2.9 3 1.35 0.08 0.04
3 3.2 1.094 0.05 0.035
3.2 3.25 1.26 0.07 0.04
3.25 3.55 1.19 0.08 0.04
3.55 3.7 1.22 0.10 0.04
3.7 4 1.16 0.10 0.04
4 4.25 1.15 0.11 0.04
4.25 4.6 1.18 0.14 0.04
4.6 4.9 1.45 0.26 0.05
4.9 5.75 1.31 0.21 0.05
5.75 7 0.80 0.19 0.05
