dphi(rad)_low	dphi(rad)_high	C(dphi)	stat.
0.000000	0.261799	1.051365	0.002062
0.261799	0.523599	1.029669	0.002121
0.523599	0.785398	0.989515	0.002349
0.785398	1.047198	0.952169	0.002716
1.047198	1.308997	0.935138	0.003222
1.308997	1.570796	0.928626	0.003599
1.570796	1.832596	0.937010	0.003216
1.832596	2.094395	0.958695	0.002842
2.094395	2.356194	0.979261	0.002678
2.356194	2.617994	1.005450	0.002576
2.617994	2.879793	1.024326	0.002522
2.879793	3.141593	1.032531	0.002497
