dphi(rad)_low	dphi(rad)_high	C(dphi)	stat.
0.000000	0.261799	1.18	0.04
0.261799	0.523599	1.01	0.04
0.523599	0.785398	0.95	0.04
0.785398	1.047198	0.85	0.05
1.047198	1.308997	0.87	0.05
1.308997	1.570796	0.82	0.06
1.570796	1.832596	0.75	0.05
1.832596	2.094395	0.96	0.05
2.094395	2.356194	0.97	0.05
2.356194	2.617994	1.04	0.05
2.617994	2.879793	1.09	0.05
2.879793	3.141593	1.09	0.05
