# pT_low pT_high R_AA eR_AA eNorm
1 1.5 0.70 0.08 0.22
1.5 2 0.76 0.08 0.24
2 2.5 0.82 0.09 0.25
2.5 3 0.75 0.09 0.23
3 3.5 0.76 0.10 0.23
3.5 4 0.76 0.11 0.24
4 4.5 0.85 0.12 0.26
4.5 5 0.79 0.12 0.24
5 5.5 0.80 0.14 0.25
5.5 6 0.80 0.16 0.25
6 6.5 0.96 0.21 0.30
6.5 7 0.73 0.21 0.22
7 7.5 0.54 0.22 0.17
7.5 8 0.61 0.34 0.19
