   eta      v2        errv2
  -0.325    0.08167    0.00055
  -0.275    0.08251    0.00046
  -0.225    0.08309    0.00041
  -0.175    0.08186    0.00040
  -0.125    0.08342    0.00040
  -0.075    0.08320    0.00041
  -0.025    0.08298    0.00046
  0.025    0.08251    0.00048
  0.075    0.08279    0.00043
  0.125    0.08351    0.00041
  0.175    0.08183    0.00041
  0.225    0.08260    0.00042
  0.275    0.08317    0.00047
  0.325    0.08177    0.00056
