   eta      v2        errv2
  -0.325    0.13535    0.00120
  -0.275    0.13888    0.00099
  -0.225    0.13863    0.00087
  -0.175    0.13587    0.00082
  -0.125    0.14019    0.00083
  -0.075    0.13694    0.00085
  -0.025    0.13655    0.00094
  0.025    0.13801    0.00096
  0.075    0.13621    0.00088
  0.125    0.13803    0.00085
  0.175    0.13563    0.00084
  0.225    0.13776    0.00089
  0.275    0.13807    0.00101
  0.325    0.13605    0.00124
