# eta   v2      errv2
-0.325  0.1354  0.0012
-0.275  0.1389  0.0010
-0.225  0.1386  9e-4
-0.175  0.1359  8e-4
-0.125  0.1402  8e-4
-0.075  0.1369  9e-4
-0.025  0.1366  9e-4
0.025   0.1380  0.0010
0.075   0.1362  9e-4
0.125   0.1380  9e-4
0.175   0.1356  8e-4
0.225   0.1378  9e-4
0.275   0.1381  0.0010
0.325   0.1361  0.0012
