# pt  v2 errv2 syslow syshigh
0.251 0.01201 5e-4 0.0015 0.0015
0.349 0.03575 0.001 0.005 0.005
0.448 0.05111 0.001 0.006 0.006
0.548 0.06256 0.001 0.008 0.008
0.648 0.07591 0.001 0.010 0.010
0.748 0.08903 0.001 0.011 0.011
0.848 0.09965 0.001 0.013 0.013
0.948 0.11124 0.001 0.014 0.014
1.091 0.12340 0.001 0.016 0.016
1.290 0.14241 0.001 0.018 0.018
1.489 0.16236 0.002 0.021 0.021
1.689 0.17737 0.002 0.023 0.023
1.890 0.19295 0.003 0.024 0.024
2.198 0.21282 0.003 0.027 0.027
2.700 0.22201 0.006 0.028 0.028
3.348 0.21980 0.009 0.028 0.028
4.373 0.24935 0.023 0.032 0.032
5.452 0.36285 0.06 0.05 0.05
6.734 0.40554 0.08 0.05 0.05
