  pt_low    pt_high   v2 errv2 syslow syshigh
  0.200     0.300     0.00625 3e-4 8e-4 8e-4
  0.300     0.400     0.04611 0.000 0.006 0.006
  0.400     0.500     0.06387 0.001 0.008 0.008
  0.500     0.600     0.07455 0.001 0.010 0.010
  0.600     0.700     0.08575 0.001 0.011 0.011
  0.700     0.800     0.09774 0.001 0.013 0.013
  0.800     0.900     0.11126 0.001 0.015 0.015
  0.900     1.000     0.11974 0.001 0.016 0.016
  1.000     1.200     0.13745 0.001 0.018 0.018
  1.200     1.400     0.15672 0.001 0.021 0.021
  1.400     1.600     0.17633 0.002 0.023 0.023
  1.600     1.800     0.19315 0.002 0.025 0.025
  1.800     2.000     0.20965 0.003 0.028 0.028
  2.000     2.400     0.21909 0.003 0.029 0.029
  2.400     3.000     0.23572 0.006 0.031 0.031
  3.000     3.700     0.24331 0.008 0.032 0.032
  3.700     5.000     0.26575 0.021 0.035 0.035
  5.000     6.500     0.24613 0.033 0.032 0.032
  6.500     8.500     0.17786 0.051 0.023 0.023
