  pt       v2         errv2          syslow   syshigh 
  0.250    0.00625    0.00032        0.00082	0.00082    
  0.349    0.04611    0.00044        0.00608	0.00608    
  0.448    0.06387    0.00054        0.00842	0.00842    
  0.548    0.07455    0.00062        0.00983	0.00983    
  0.648    0.08575    0.00072        0.01131	0.01131    
  0.748    0.09774    0.00082        0.01289	0.01289    
  0.848    0.11126    0.00094        0.01468	0.01468    
  0.948    0.11974    0.00108        0.01580	0.01580    
  1.092    0.13745    0.00095        0.01813	0.01813    
  1.291    0.15672    0.00123        0.02067	0.02067    
  1.489    0.17633    0.00166        0.02326	0.02326    
  1.689    0.19315    0.00229        0.02548	0.02548    
  1.891    0.20965    0.00309        0.02765	0.02765    
  2.199    0.21909    0.00304        0.02890	0.02890    
  2.701    0.23572    0.00567        0.03109	0.03109    
  3.344    0.24331    0.00808        0.03209	0.03209    
  4.346    0.26575    0.02124        0.03506	0.03506    
  5.414    0.24613    0.03288        0.03247	0.03247    
  6.566    0.17786    0.05097        0.02346	0.02346  
