# pt  v2 errv2 syslow syshigh
0.250 0.00898 2e-4 0.0012 0.0012
0.349 0.04323 0.000 0.006 0.006
0.448 0.06214 0.000 0.009 0.009
0.548 0.07193 0.000 0.010 0.010
0.648 0.08243 0.000 0.011 0.011
0.748 0.09401 0.001 0.013 0.013
0.848 0.10533 0.001 0.014 0.014
0.948 0.11678 0.001 0.016 0.016
1.092 0.12972 0.001 0.018 0.018
1.291 0.15059 0.001 0.021 0.021
1.489 0.16955 0.001 0.023 0.023
1.689 0.18422 0.001 0.025 0.025
1.891 0.19625 0.002 0.027 0.027
2.197 0.21718 0.002 0.030 0.030
2.702 0.22835 0.004 0.031 0.031
3.338 0.22623 0.006 0.031 0.031
4.360 0.19059 0.015 0.026 0.026
5.379 0.16931 0.033 0.023 0.023
6.628 0.16346 0.050 0.022 0.022
