  pt       v2         errv2      syslow     syshigh 
  0.248    0.01089    0.00013        0.00163	0.00163    
  0.348    0.02714    0.00018        0.00407	0.00407    
  0.449    0.03914    0.00023        0.00587	0.00587    
  0.547    0.04592    0.00027        0.00689	0.00689    
  0.649    0.05281    0.00030        0.00792	0.00792    
  0.748    0.05977    0.00035        0.00897	0.00897    
  0.848    0.06637    0.00040        0.00995	0.00995    
  0.948    0.07459    0.00045        0.01119	0.01119    
  1.092    0.08249    0.00040        0.01237	0.01237    
  1.291    0.09506    0.00051        0.01426	0.01426    
  1.490    0.10997    0.00067        0.01650	0.01650    
  1.689    0.12394    0.00090        0.01859	0.01859    
  1.891    0.13378    0.00121        0.02007	0.02007    
  2.196    0.14881    0.00121        0.02232	0.02232    
  2.699    0.16781    0.00232        0.02517	0.02517    
  3.328    0.16669    0.00382        0.02500	0.02500    
  4.357    0.13468    0.01047        0.02020	0.02020    
  5.371    0.14951    0.02244        0.02243	0.02243    
  6.587    0.11931    0.02641        0.01790	0.01790    
