# pt  v2 errv2 syslow syshigh
0.246 0.00778 1e-4 0.0010 0.0010
0.349 0.03793 0.000 0.005 0.005
0.448 0.05476 0.000 0.007 0.007
0.548 0.06374 0.000 0.008 0.008
0.648 0.07303 0.000 0.010 0.010
0.748 0.08283 0.000 0.011 0.011
0.848 0.09301 0.000 0.012 0.012
0.948 0.10247 0.000 0.014 0.014
1.091 0.11444 0.000 0.015 0.015
1.290 0.13201 0.000 0.017 0.017
1.489 0.14884 0.001 0.020 0.020
1.689 0.16226 0.001 0.021 0.021
1.890 0.17456 0.001 0.023 0.023
2.198 0.19027 0.001 0.025 0.025
2.700 0.20415 0.002 0.027 0.027
3.348 0.21363 0.003 0.028 0.028
4.373 0.19568 0.007 0.026 0.026
5.452 0.23823 0.015 0.031 0.031
6.734 0.18915 0.023 0.025 0.025
