  pt       v2         errv2      syslow     syshigh 
  0.247    0.00859    0.00014        0.00161	0.00161       
  0.347    0.01406    0.00019        0.00263	0.00263    
  0.450    0.01882    0.00023        0.00352	0.00352    
  0.547    0.02140    0.00027        0.00400	0.00400    
  0.649    0.02395    0.00031        0.00448	0.00448    
  0.748    0.02718    0.00036        0.00508	0.00508    
  0.847    0.03087    0.00041        0.00578	0.00578    
  0.949    0.03605    0.00047        0.00674	0.00674    
  1.090    0.03950    0.00041        0.00739	0.00739    
  1.291    0.04734    0.00053        0.00886	0.00886    
  1.490    0.05633    0.00070        0.01054	0.01054    
  1.689    0.06542    0.00095        0.01224	0.01224    
  1.890    0.07148    0.00128        0.01337	0.01337    
  2.194    0.08352    0.00128        0.01562	0.01562    
  2.698    0.09362    0.00249        0.01752	0.01752    
  3.329    0.08866    0.00421        0.01659	0.01659    
  4.365    0.08997    0.01134        0.01683	0.01683    
  5.376    0.07933    0.02365        0.01484	0.01484    
  6.695    0.08701    0.02720        0.01628	0.01628    
