  pt       v2         errv2    syslow     syshigh
  0.247    0.02486    0.00009    0.01829    0.01829
  0.348    0.04133    0.00010    0.00356    0.00356
  0.448    0.05407    0.00012    0.00248    0.00248
  0.548    0.06625    0.00013    0.00216    0.00216
  0.648    0.07751    0.00015    0.00185    0.00185
  0.748    0.08828    0.00017    0.00170    0.00170
  0.848    0.09798    0.00019    0.00182    0.00182
  0.948    0.10799    0.00021    0.00148    0.00148
  1.092    0.12038    0.00020    0.00145    0.00145
  1.292    0.13713    0.00025    0.00137    0.00137
  1.492    0.15261    0.00031    0.00172    0.00172
  1.692    0.16688    0.00040    0.00162    0.00162
  1.892    0.17885    0.00052    0.00167    0.00167
  2.200    0.19049    0.00052    0.00156    0.00156
  2.703    0.20132    0.00092    0.00138    0.00138
  3.343    0.19905    0.00138    0.00199    0.00199
  4.381    0.17363    0.00360    0.00359    0.00359
  5.410    0.14382    0.00849    0.00641    0.00641
  6.852    0.15738    0.01713    0.01955    0.01955
