# pt  v2 errv2 syslow syshigh
0.247 0.02486 0.000 0.018 0.018
0.348 0.04133 0.000 0.004 0.004
0.448 0.05407 1e-4 0.0025 0.0025
0.548 0.06625 1e-4 0.0022 0.0022
0.648 0.07751 2e-4 0.0019 0.0019
0.748 0.08828 2e-4 0.0017 0.0017
0.848 0.09798 2e-4 0.0018 0.0018
0.948 0.10799 2e-4 0.0015 0.0015
1.092 0.12038 2e-4 0.0015 0.0015
1.292 0.13713 3e-4 0.0014 0.0014
1.492 0.15261 3e-4 0.0017 0.0017
1.692 0.16688 4e-4 0.0016 0.0016
1.892 0.17885 5e-4 0.0017 0.0017
2.200 0.19049 5e-4 0.0016 0.0016
2.703 0.20132 9e-4 0.0014 0.0014
3.343 0.19905 0.0014 0.0020 0.0020
4.381 0.17363 0.004 0.004 0.004
5.410 0.14382 0.008 0.006 0.006
6.852 0.15738 0.017 0.020 0.020
