  pt       v2         errv2    syslow     syshigh 
  0.247    0.02303    0.00012    0.01321    0.01321
  0.348    0.03874    0.00015    0.00352    0.00352
  0.448    0.04999    0.00017    0.00299    0.00299
  0.548    0.06081    0.00020    0.00291    0.00291
  0.648    0.07080    0.00023    0.00264    0.00264
  0.748    0.08075    0.00026    0.00212    0.00212
  0.848    0.08937    0.00029    0.00215    0.00215
  0.948    0.09866    0.00032    0.00196    0.00196
  1.092    0.10976    0.00032    0.00192    0.00192
  1.292    0.12516    0.00038    0.00175    0.00175
  1.492    0.14070    0.00046    0.00196    0.00196
  1.692    0.15437    0.00058    0.00188    0.00188
  1.892    0.16707    0.00074    0.00183    0.00183
  2.200    0.17941    0.00075    0.00174    0.00174
  2.703    0.19028    0.00127    0.00214    0.00214
  3.343    0.19058    0.00192    0.00246    0.00246
  4.381    0.17700    0.00509    0.00471    0.00471
  5.410    0.14112    0.01211    0.00928    0.00928
  6.852    0.15430    0.02423    0.01756    0.01756
