  pt_low    pt_high   v2 errv2 syslow syshigh
  0.200     0.300     0.02643 0.000 0.023 0.023
  0.300     0.400     0.04375 0.000 0.004 0.004
  0.400     0.500     0.05740 2e-4 0.0028 0.0028
  0.500     0.600     0.07024 2e-4 0.0021 0.0021
  0.600     0.700     0.08223 3e-4 0.0017 0.0017
  0.700     0.800     0.09334 3e-4 0.0020 0.0020
  0.800     0.900     0.10390 4e-4 0.0018 0.0018
  0.900     1.000     0.11406 4e-4 0.0015 0.0015
  1.000     1.200     0.12724 4e-4 0.0016 0.0016
  1.200     1.400     0.14512 5e-4 0.0013 0.0013
  1.400     1.600     0.16059 6e-4 0.0018 0.0018
  1.600     1.800     0.17513 7e-4 0.0016 0.0016
  1.800     2.000     0.18657 9e-4 0.0018 0.0018
  2.000     2.400     0.19962 9e-4 0.0018 0.0018
  2.400     3.000     0.21142 0.0016 0.0021 0.0021
  3.000     3.700     0.21127 0.0025 0.0018 0.0018
  3.700     5.000     0.17740 0.006 0.005 0.005
  5.000     6.500     0.15446 0.015 0.012 0.012
  6.500     8.500     0.18090 0.031 0.033 0.033
