  pt       v2         errv2    syslow     syshigh 
  0.247    0.02643    0.00016    0.02251    0.02251
  0.348    0.04375    0.00018    0.00362    0.00362
  0.448    0.05740    0.00021    0.00284    0.00284
  0.548    0.07024    0.00024    0.00210    0.00210
  0.648    0.08223    0.00028    0.00174    0.00174
  0.748    0.09334    0.00031    0.00197    0.00197
  0.848    0.10390    0.00035    0.00176    0.00176
  0.948    0.11406    0.00039    0.00147    0.00147
  1.092    0.12724    0.00038    0.00163    0.00163
  1.292    0.14512    0.00046    0.00130    0.00130
  1.492    0.16059    0.00057    0.00183    0.00183
  1.692    0.17513    0.00073    0.00164    0.00164
  1.892    0.18657    0.00094    0.00181    0.00181
  2.200    0.19962    0.00094    0.00178    0.00178
  2.703    0.21142    0.00164    0.00205    0.00205
  3.343    0.21127    0.00247    0.00182    0.00182
  4.381    0.17740    0.00641    0.00538    0.00538
  5.410    0.15446    0.01517    0.01195    0.01195
  6.852    0.18090    0.03067    0.03313    0.03313
