  pt       v2         errv2    syslow     syshigh 
  0.247    0.02604    0.00042    0.01904    0.01904
  0.348    0.04300    0.00046    0.00384    0.00384
  0.448    0.05828    0.00052    0.00275    0.00275
  0.548    0.07203    0.00060    0.00179    0.00179
  0.648    0.08435    0.00068    0.00142    0.00142
  0.748    0.09747    0.00077    0.00133    0.00133
  0.848    0.10692    0.00087    0.00175    0.00175
  0.948    0.11892    0.00099    0.00100    0.00100
  1.092    0.13284    0.00091    0.00112    0.00112
  1.292    0.15013    0.00114    0.00144    0.00144
  1.492    0.16217    0.00146    0.00181    0.00181
  1.692    0.17611    0.00196    0.00187    0.00187
  1.892    0.18592    0.00260    0.00286    0.00286
  2.200    0.18959    0.00255    0.00286    0.00286
  2.703    0.20252    0.00458    0.00329    0.00329
  3.343    0.18593    0.00674    0.00416    0.00416
  4.381    0.15403    0.01686    0.02088    0.02088
  5.410    0.11053    0.03881    0.02340    0.02340
