# pt  v2 errv2 syslow syshigh
0.247 0.02643 0.000 0.023 0.023
0.348 0.04375 0.000 0.004 0.004
0.448 0.05740 2e-4 0.0028 0.0028
0.548 0.07024 2e-4 0.0021 0.0021
0.648 0.08223 3e-4 0.0017 0.0017
0.748 0.09334 3e-4 0.0020 0.0020
0.848 0.10390 4e-4 0.0018 0.0018
0.948 0.11406 4e-4 0.0015 0.0015
1.092 0.12724 4e-4 0.0016 0.0016
1.292 0.14512 5e-4 0.0013 0.0013
1.492 0.16059 6e-4 0.0018 0.0018
1.692 0.17513 7e-4 0.0016 0.0016
1.892 0.18657 9e-4 0.0018 0.0018
2.200 0.19962 9e-4 0.0018 0.0018
2.703 0.21142 0.0016 0.0021 0.0021
3.343 0.21127 0.0025 0.0018 0.0018
4.381 0.17740 0.006 0.005 0.005
5.410 0.15446 0.015 0.012 0.012
6.852 0.18090 0.031 0.033 0.033
