# pt  v2 errv2 syslow syshigh
0.247 0.02604 0.000 0.019 0.019
0.348 0.04300 0.000 0.004 0.004
0.448 0.05828 5e-4 0.0028 0.0028
0.548 0.07203 6e-4 0.0018 0.0018
0.648 0.08435 7e-4 0.0014 0.0014
0.748 0.09747 8e-4 0.0013 0.0013
0.848 0.10692 9e-4 0.0018 0.0018
0.948 0.11892 0.0010 0.0010 0.0010
1.092 0.13284 9e-4 0.0011 0.0011
1.292 0.15013 0.0011 0.0014 0.0014
1.492 0.16217 0.0015 0.0018 0.0018
1.692 0.17611 0.0020 0.0019 0.0019
1.892 0.18592 0.0026 0.0029 0.0029
2.200 0.18959 0.0026 0.0029 0.0029
2.703 0.20252 0.0046 0.0033 0.0033
3.343 0.18593 0.007 0.004 0.004
4.381 0.15403 0.017 0.021 0.021
5.410 0.11053 0.039 0.023 0.023
