# pt  v2 errv2 syslow syshigh
0.247 0.01754 0.000 0.004 0.004
0.348 0.03008 2e-4 0.0027 0.0027
0.448 0.03816 2e-4 0.0029 0.0029
0.548 0.04582 0.000 0.004 0.004
0.648 0.05326 2e-4 0.0028 0.0028
0.748 0.06060 3e-4 0.0025 0.0025
0.848 0.06701 3e-4 0.0022 0.0022
0.948 0.07432 3e-4 0.0022 0.0022
1.092 0.08259 3e-4 0.0021 0.0021
1.292 0.09457 4e-4 0.0018 0.0018
1.492 0.10576 5e-4 0.0020 0.0020
1.692 0.11860 6e-4 0.0017 0.0017
1.892 0.12760 7e-4 0.0022 0.0022
2.200 0.13970 7e-4 0.0015 0.0015
2.703 0.15130 0.0012 0.0015 0.0015
3.343 0.15437 0.0018 0.0020 0.0020
4.381 0.13577 0.005 0.004 0.004
5.410 0.12403 0.012 0.008 0.008
6.852 0.10515 0.023 0.017 0.017
