# pt  v2 errv2 syslow syshigh
0.247 0.02303 0.000 0.013 0.013
0.348 0.03874 2e-4 0.0035 0.0035
0.448 0.04999 2e-4 0.0030 0.0030
0.548 0.06081 2e-4 0.0029 0.0029
0.648 0.07080 2e-4 0.0026 0.0026
0.748 0.08075 3e-4 0.0021 0.0021
0.848 0.08937 3e-4 0.0022 0.0022
0.948 0.09866 3e-4 0.0020 0.0020
1.092 0.10976 3e-4 0.0019 0.0019
1.292 0.12516 4e-4 0.0018 0.0018
1.492 0.14070 5e-4 0.0020 0.0020
1.692 0.15437 6e-4 0.0019 0.0019
1.892 0.16707 7e-4 0.0018 0.0018
2.200 0.17941 8e-4 0.0017 0.0017
2.703 0.19028 0.0013 0.0021 0.0021
3.343 0.19058 0.0019 0.0025 0.0025
4.381 0.17700 0.005 0.005 0.005
5.410 0.14112 0.012 0.009 0.009
6.852 0.15430 0.024 0.018 0.018
