  pt       v2         errv2      syslow     syshigh 
  0.247    0.01754    0.00011    0.00405    0.00405
  0.348    0.03008    0.00015    0.00266    0.00266
  0.448    0.03816    0.00018    0.00291    0.00291
  0.548    0.04582    0.00020    0.00366    0.00366
  0.648    0.05326    0.00023    0.00282    0.00282
  0.748    0.06060    0.00026    0.00254    0.00254
  0.848    0.06701    0.00029    0.00222    0.00222
  0.948    0.07432    0.00033    0.00215    0.00215
  1.092    0.08259    0.00033    0.00207    0.00207
  1.292    0.09457    0.00040    0.00181    0.00181
  1.492    0.10576    0.00047    0.00195    0.00195
  1.692    0.11860    0.00058    0.00168    0.00168
  1.892    0.12760    0.00072    0.00215    0.00215
  2.200    0.13970    0.00074    0.00148    0.00148
  2.703    0.15130    0.00120    0.00147    0.00147
  3.343    0.15437    0.00180    0.00202    0.00202
  4.381    0.13577    0.00480    0.00392    0.00392
  5.410    0.12403    0.01161    0.00769    0.00769
  6.852    0.10515    0.02334    0.01738    0.01738
