# pt  v2 errv2 syslow syshigh
0.247 0.02735 0.000 0.024 0.024
0.348 0.04524 0.000 0.004 0.004
0.448 0.06005 3e-4 0.0023 0.0023
0.548 0.07469 4e-4 0.0019 0.0019
0.648 0.08802 4e-4 0.0016 0.0016
0.748 0.09969 5e-4 0.0015 0.0015
0.848 0.11102 5e-4 0.0016 0.0016
0.948 0.12198 6e-4 0.0013 0.0013
1.092 0.13583 5e-4 0.0011 0.0011
1.292 0.15374 7e-4 0.0013 0.0013
1.492 0.16932 8e-4 0.0015 0.0015
1.692 0.18373 0.0011 0.0018 0.0018
1.892 0.19466 0.0014 0.0017 0.0017
2.200 0.20485 0.0014 0.0017 0.0017
2.703 0.21518 0.0025 0.0020 0.0020
3.343 0.21226 0.0038 0.0031 0.0031
4.381 0.17973 0.010 0.005 0.005
5.410 0.16095 0.022 0.010 0.010
6.852 0.15359 0.05 0.04 0.04
