# pT_low pT_high R_AA eR_AA eNorm
1 1.5 0.51 0.06 0.07
1.5 2 0.58 0.06 0.08
2 2.5 0.60 0.07 0.09
2.5 3 0.54 0.07 0.08
3 3.5 0.48 0.06 0.07
3.5 4 0.44 0.06 0.06
4 4.5 0.51 0.07 0.07
4.5 5 0.52 0.07 0.07
5 5.5 0.43 0.07 0.06
5.5 6 0.39 0.07 0.06
6 6.5 0.49 0.09 0.07
6.5 7 0.51 0.11 0.07
7 7.5 0.47 0.12 0.07
7.5 8 0.74 0.22 0.11
8 8.5 0.39 0.15 0.06
