pT_low	pT_high	R_AA	eR_AA	eNorm
1.0	1.5	0.603	0.068	0.091
1.5	2.0	0.672	0.075	0.101
2.0	2.5	0.680	0.078	0.103
2.5	3.0	0.620	0.074	0.093
3.0	3.5	0.597	0.078	0.090
3.5	4.0	0.573	0.081	0.086
4.0	4.5	0.557	0.075	0.084
4.5	5.0	0.668	0.096	0.101
5.0	5.5	0.592	0.096	0.089
5.5	6.0	0.608	0.104	0.092
6.0	6.5	0.693	0.138	0.104
6.5	7.0	0.521	0.125	0.079
7.0	7.5	0.809	0.232	0.122
7.5	8.0	0.723	0.263	0.109
