pT_low	pT_high	R_AA	eR_AA	eNorm
1.0	1.5	0.687	0.077	0.246
1.5	2.0	0.729	0.081	0.261
2.0	2.5	0.785	0.090	0.281
2.5	3.0	0.750	0.092	0.268
3.0	3.5	0.801	0.111	0.287
3.5	4.0	0.713	0.110	0.255
4.0	4.5	0.771	0.133	0.276
4.5	5.0	0.762	0.160	0.273
5.0	5.5	1.024	0.238	0.367
5.5	6.0	0.721	0.237	0.258
6.0	6.5	0.730	0.308	0.261
