pT_low	pT_high	R_AA	eR_AA	eNorm
1.0	1.5	0.660	0.073	0.203
1.5	2.0	0.724	0.080	0.223
2.0	2.5	0.786	0.089	0.242
2.5	3.0	0.708	0.085	0.218
3.0	3.5	0.730	0.097	0.225
3.5	4.0	0.716	0.102	0.220
4.0	4.5	0.816	0.112	0.251
4.5	5.0	0.724	0.118	0.223
5.0	5.5	0.773	0.143	0.238
5.5	6.0	0.819	0.160	0.252
6.0	6.5	0.871	0.202	0.268
6.5	7.0	0.760	0.220	0.234
7.0	7.5	1.206	0.744	0.371
