pT_low	pT_high	R_AA	eR_AA	eNorm
1.0	1.5	0.756	0.084	0.243
1.5	2.0	0.790	0.088	0.254
2.0	2.5	0.838	0.096	0.269
2.5	3.0	0.805	0.098	0.259
3.0	3.5	0.830	0.112	0.266
3.5	4.0	0.810	0.121	0.260
4.0	4.5	0.834	0.128	0.268
4.5	5.0	0.831	0.153	0.267
5.0	5.5	0.970	0.213	0.311
5.5	6.0	0.711	0.206	0.228
6.0	6.5	0.935	0.313	0.300
