pT_low	pT_high	R_AA	eR_AA	eNorm
1.0	1.5	0.638	0.072	0.125
1.5	2.0	0.695	0.077	0.136
2.0	2.5	0.723	0.083	0.141
2.5	3.0	0.654	0.080	0.128
3.0	3.5	0.666	0.088	0.130
3.5	4.0	0.676	0.096	0.132
4.0	4.5	0.681	0.093	0.133
4.5	5.0	0.716	0.109	0.140
5.0	5.5	0.621	0.107	0.121
5.5	6.0	0.685	0.145	0.134
6.0	6.5	0.599	0.142	0.117
6.5	7.0	0.694	0.206	0.136
7.0	7.5	0.411	0.178	0.080
7.5	8.0	0.663	0.313	0.129
