  pt       v2         errv2      syslow     syshigh 
  0.247    0.01804    0.00010    0.00416    0.00416
  0.348    0.03095    0.00011    0.00273    0.00273
  0.448    0.03927    0.00012    0.00300    0.00300
  0.548    0.04714    0.00014    0.00377    0.00377
  0.648    0.05480    0.00015    0.00290    0.00290
  0.748    0.06236    0.00017    0.00261    0.00261
  0.848    0.06895    0.00019    0.00229    0.00229
  0.948    0.07647    0.00022    0.00221    0.00221
  1.092    0.08498    0.00019    0.00213    0.00213
  1.292    0.09731    0.00024    0.00186    0.00186
  1.492    0.10883    0.00032    0.00201    0.00201
  1.692    0.12204    0.00044    0.00173    0.00173
  1.892    0.13129    0.00059    0.00222    0.00222
  2.200    0.14375    0.00058    0.00152    0.00152
  2.703    0.15569    0.00112    0.00151    0.00151
  3.343    0.15885    0.00177    0.00208    0.00208
  4.381    0.13970    0.00491    0.00403    0.00403
  5.410    0.12763    0.01194    0.00791    0.00791
  6.852    0.10820    0.02401    0.01788    0.01788
