# pt  v2 errv2 syslow syshigh
0.247 0.02840 0.000 0.025 0.025
0.348 0.04699 0.000 0.004 0.004
0.448 0.06236 3e-4 0.0024 0.0024
0.548 0.07757 3e-4 0.0020 0.0020
0.648 0.09141 4e-4 0.0016 0.0016
0.748 0.10354 4e-4 0.0016 0.0016
0.848 0.11530 4e-4 0.0017 0.0017
0.948 0.12668 5e-4 0.0013 0.0013
1.092 0.14106 4e-4 0.0012 0.0012
1.292 0.15967 6e-4 0.0013 0.0013
1.492 0.17584 8e-4 0.0016 0.0016
1.692 0.19082 0.0010 0.0018 0.0018
1.892 0.20216 0.0014 0.0018 0.0018
2.200 0.21274 0.0014 0.0018 0.0018
2.703 0.22348 0.0026 0.0021 0.0021
3.343 0.22044 0.0039 0.0033 0.0033
4.381 0.18665 0.010 0.005 0.005
5.410 0.16716 0.023 0.011 0.011
6.852 0.15951 0.05 0.04 0.04
