  pt       v2         errv2    syslow     syshigh 
  0.247    0.02733    0.00015    0.02327    0.02327
  0.348    0.04523    0.00016    0.00374    0.00374
  0.448    0.05935    0.00018    0.00293    0.00293
  0.548    0.07263    0.00020    0.00217    0.00217
  0.648    0.08502    0.00023    0.00180    0.00180
  0.748    0.09651    0.00025    0.00203    0.00203
  0.848    0.10742    0.00029    0.00182    0.00182
  0.948    0.11793    0.00033    0.00152    0.00152
  1.092    0.13156    0.00028    0.00169    0.00169
  1.292    0.15004    0.00036    0.00135    0.00135
  1.492    0.16604    0.00048    0.00190    0.00190
  1.692    0.18107    0.00066    0.00170    0.00170
  1.892    0.19290    0.00089    0.00188    0.00188
  2.200    0.20640    0.00088    0.00185    0.00185
  2.703    0.21859    0.00164    0.00213    0.00213
  3.343    0.21843    0.00252    0.00190    0.00190
  4.381    0.18342    0.00662    0.00556    0.00556
  5.410    0.15970    0.01568    0.01235    0.01235
  6.852    0.18703    0.03171    0.03425    0.03425
