  pt       v2         errv2    syslow     syshigh 
  0.247    0.02767    0.00043    0.02023    0.02023
  0.348    0.04569    0.00046    0.00408    0.00408
  0.448    0.06193    0.00050    0.00292    0.00292
  0.548    0.07654    0.00056    0.00190    0.00190
  0.648    0.08963    0.00064    0.00151    0.00151
  0.748    0.10358    0.00072    0.00142    0.00142
  0.848    0.11362    0.00082    0.00186    0.00186
  0.948    0.12637    0.00093    0.00109    0.00109
  1.092    0.14117    0.00082    0.00122    0.00122
  1.292    0.15953    0.00105    0.00156    0.00156
  1.492    0.17233    0.00141    0.00195    0.00195
  1.692    0.18714    0.00196    0.00204    0.00204
  1.892    0.19757    0.00266    0.00308    0.00308
  2.200    0.20146    0.00260    0.00309    0.00309
  2.703    0.21521    0.00480    0.00354    0.00354
  3.343    0.19757    0.00712    0.00445    0.00445
  4.381    0.16368    0.01791    0.02220    0.02220
  5.410    0.11745    0.04124    0.02486    0.02486
