  pt_low    pt_high   v2 errv2 syslow syshigh
  0.200     0.300     0.01025 0.000 0.007 0.007
  0.300     0.400     0.01868 1e-4 0.0016 0.0016
  0.400     0.500     0.02300 2e-4 0.0023 0.0023
  0.500     0.600     0.02741 2e-4 0.0025 0.0025
  0.600     0.700     0.03174 2e-4 0.0023 0.0023
  0.700     0.800     0.03570 2e-4 0.0021 0.0021
  0.800     0.900     0.03990 3e-4 0.0017 0.0017
  0.900     1.000     0.04428 3e-4 0.0017 0.0017
  1.000     1.200     0.04941 3e-4 0.0016 0.0016
  1.200     1.400     0.05631 3e-4 0.0015 0.0015
  1.400     1.600     0.06349 4e-4 0.0013 0.0013
  1.600     1.800     0.07065 6e-4 0.0017 0.0017
  1.800     2.000     0.07859 8e-4 0.0015 0.0015
  2.000     2.400     0.08557 8e-4 0.0012 0.0012
  2.400     3.000     0.09598 0.0015 0.0017 0.0017
  3.000     3.700     0.09806 0.0025 0.0032 0.0032
  3.700     5.000     0.08795 0.007 0.010 0.010
