# pt  v2 errv2 syslow syshigh
0.247 0.01804 0.000 0.004 0.004
0.348 0.03095 1e-4 0.0027 0.0027
0.448 0.03927 1e-4 0.0030 0.0030
0.548 0.04714 0.000 0.004 0.004
0.648 0.05480 2e-4 0.0029 0.0029
0.748 0.06236 2e-4 0.0026 0.0026
0.848 0.06895 2e-4 0.0023 0.0023
0.948 0.07647 2e-4 0.0022 0.0022
1.092 0.08498 2e-4 0.0021 0.0021
1.292 0.09731 2e-4 0.0019 0.0019
1.492 0.10883 3e-4 0.0020 0.0020
1.692 0.12204 4e-4 0.0017 0.0017
1.892 0.13129 6e-4 0.0022 0.0022
2.200 0.14375 6e-4 0.0015 0.0015
2.703 0.15569 0.0011 0.0015 0.0015
3.343 0.15885 0.0018 0.0021 0.0021
4.381 0.13970 0.005 0.004 0.004
5.410 0.12763 0.012 0.008 0.008
6.852 0.10820 0.024 0.018 0.018
