  pt       v2         errv2    syslow     syshigh 
  0.247    0.02840    0.00024    0.02506    0.02506
  0.348    0.04699    0.00025    0.00384    0.00384
  0.448    0.06236    0.00028    0.00243    0.00243
  0.548    0.07757    0.00031    0.00195    0.00195
  0.648    0.09141    0.00035    0.00161    0.00161
  0.748    0.10354    0.00039    0.00159    0.00159
  0.848    0.11530    0.00044    0.00165    0.00165
  0.948    0.12668    0.00050    0.00131    0.00131
  1.092    0.14106    0.00044    0.00116    0.00116
  1.292    0.15967    0.00056    0.00132    0.00132
  1.492    0.17584    0.00075    0.00160    0.00160
  1.692    0.19082    0.00104    0.00184    0.00184
  1.892    0.20216    0.00141    0.00182    0.00182
  2.200    0.21274    0.00138    0.00183    0.00183
  2.703    0.22348    0.00256    0.00211    0.00211
  3.343    0.22044    0.00387    0.00327    0.00327
  4.381    0.18665    0.00994    0.00510    0.00510
  5.410    0.16716    0.02325    0.01066    0.01066
  6.852    0.15951    0.04732    0.03862    0.03862
