  pt_low    pt_high   v2 errv2 syslow syshigh
  0.200     0.300     0.01804 0.000 0.004 0.004
  0.300     0.400     0.03095 1e-4 0.0027 0.0027
  0.400     0.500     0.03927 1e-4 0.0030 0.0030
  0.500     0.600     0.04714 0.000 0.004 0.004
  0.600     0.700     0.05480 2e-4 0.0029 0.0029
  0.700     0.800     0.06236 2e-4 0.0026 0.0026
  0.800     0.900     0.06895 2e-4 0.0023 0.0023
  0.900     1.000     0.07647 2e-4 0.0022 0.0022
  1.000     1.200     0.08498 2e-4 0.0021 0.0021
  1.200     1.400     0.09731 2e-4 0.0019 0.0019
  1.400     1.600     0.10883 3e-4 0.0020 0.0020
  1.600     1.800     0.12204 4e-4 0.0017 0.0017
  1.800     2.000     0.13129 6e-4 0.0022 0.0022
  2.000     2.400     0.14375 6e-4 0.0015 0.0015
  2.400     3.000     0.15569 0.0011 0.0015 0.0015
  3.000     3.700     0.15885 0.0018 0.0021 0.0021
  3.700     5.000     0.13970 0.005 0.004 0.004
  5.000     6.500     0.12763 0.012 0.008 0.008
  6.500     8.500     0.10820 0.024 0.018 0.018
