# pt  v2 errv2 syslow syshigh
0.247 0.02767 0.000 0.020 0.020
0.348 0.04569 0.000 0.004 0.004
0.448 0.06193 5e-4 0.0029 0.0029
0.548 0.07654 6e-4 0.0019 0.0019
0.648 0.08963 6e-4 0.0015 0.0015
0.748 0.10358 7e-4 0.0014 0.0014
0.848 0.11362 8e-4 0.0019 0.0019
0.948 0.12637 9e-4 0.0011 0.0011
1.092 0.14117 8e-4 0.0012 0.0012
1.292 0.15953 0.0011 0.0016 0.0016
1.492 0.17233 0.0014 0.0020 0.0020
1.692 0.18714 0.0020 0.0020 0.0020
1.892 0.19757 0.0027 0.0031 0.0031
2.200 0.20146 0.0026 0.0031 0.0031
2.703 0.21521 0.0048 0.0035 0.0035
3.343 0.19757 0.007 0.004 0.004
4.381 0.16368 0.018 0.022 0.022
5.410 0.11745 0.041 0.025 0.025
