# pt  v2 errv2 syslow syshigh
0.247 0.01025 0.000 0.007 0.007
0.348 0.01868 1e-4 0.0016 0.0016
0.448 0.02300 2e-4 0.0023 0.0023
0.548 0.02741 2e-4 0.0025 0.0025
0.648 0.03174 2e-4 0.0023 0.0023
0.748 0.03570 2e-4 0.0021 0.0021
0.848 0.03990 3e-4 0.0017 0.0017
0.948 0.04428 3e-4 0.0017 0.0017
1.092 0.04941 3e-4 0.0016 0.0016
1.292 0.05631 3e-4 0.0015 0.0015
1.492 0.06349 4e-4 0.0013 0.0013
1.692 0.07065 6e-4 0.0017 0.0017
1.892 0.07859 8e-4 0.0015 0.0015
2.200 0.08557 8e-4 0.0012 0.0012
2.703 0.09598 0.0015 0.0017 0.0017
3.343 0.09806 0.0025 0.0032 0.0032
4.381 0.08795 0.007 0.010 0.010
