  pt       v2         errv2      syslow     syshigh 
  0.247    0.01025    0.00012    0.00743    0.00743
  0.348    0.01868    0.00014    0.00163    0.00163
  0.448    0.02300    0.00016    0.00229    0.00229
  0.548    0.02741    0.00018    0.00246    0.00246
  0.648    0.03174    0.00020    0.00227    0.00227
  0.748    0.03570    0.00023    0.00205    0.00205
  0.848    0.03990    0.00026    0.00172    0.00172
  0.948    0.04428    0.00029    0.00173    0.00173
  1.092    0.04941    0.00025    0.00156    0.00156
  1.292    0.05631    0.00032    0.00150    0.00150
  1.492    0.06349    0.00042    0.00132    0.00132
  1.692    0.07065    0.00058    0.00165    0.00165
  1.892    0.07859    0.00078    0.00148    0.00148
  2.200    0.08557    0.00078    0.00115    0.00115
  2.703    0.09598    0.00151    0.00167    0.00167
  3.343    0.09806    0.00245    0.00320    0.00320
  4.381    0.08795    0.00699    0.01012    0.01012
