  pt_low    pt_high   v2 errv2 syslow syshigh
  0.200     0.300     0.02840 0.000 0.025 0.025
  0.300     0.400     0.04699 0.000 0.004 0.004
  0.400     0.500     0.06236 3e-4 0.0024 0.0024
  0.500     0.600     0.07757 3e-4 0.0020 0.0020
  0.600     0.700     0.09141 4e-4 0.0016 0.0016
  0.700     0.800     0.10354 4e-4 0.0016 0.0016
  0.800     0.900     0.11530 4e-4 0.0017 0.0017
  0.900     1.000     0.12668 5e-4 0.0013 0.0013
  1.000     1.200     0.14106 4e-4 0.0012 0.0012
  1.200     1.400     0.15967 6e-4 0.0013 0.0013
  1.400     1.600     0.17584 8e-4 0.0016 0.0016
  1.600     1.800     0.19082 0.0010 0.0018 0.0018
  1.800     2.000     0.20216 0.0014 0.0018 0.0018
  2.000     2.400     0.21274 0.0014 0.0018 0.0018
  2.400     3.000     0.22348 0.0026 0.0021 0.0021
  3.000     3.700     0.22044 0.0039 0.0033 0.0033
  3.700     5.000     0.18665 0.010 0.005 0.005
  5.000     6.500     0.16716 0.023 0.011 0.011
  6.500     8.500     0.15951 0.05 0.04 0.04
