  pt_low    pt_high   v2 errv2 syslow syshigh
  0.200     0.300     0.02767 0.000 0.020 0.020
  0.300     0.400     0.04569 0.000 0.004 0.004
  0.400     0.500     0.06193 5e-4 0.0029 0.0029
  0.500     0.600     0.07654 6e-4 0.0019 0.0019
  0.600     0.700     0.08963 6e-4 0.0015 0.0015
  0.700     0.800     0.10358 7e-4 0.0014 0.0014
  0.800     0.900     0.11362 8e-4 0.0019 0.0019
  0.900     1.000     0.12637 9e-4 0.0011 0.0011
  1.000     1.200     0.14117 8e-4 0.0012 0.0012
  1.200     1.400     0.15953 0.0011 0.0016 0.0016
  1.400     1.600     0.17233 0.0014 0.0020 0.0020
  1.600     1.800     0.18714 0.0020 0.0020 0.0020
  1.800     2.000     0.19757 0.0027 0.0031 0.0031
  2.000     2.400     0.20146 0.0026 0.0031 0.0031
  2.400     3.000     0.21521 0.0048 0.0035 0.0035
  3.000     3.700     0.19757 0.007 0.004 0.004
  3.700     5.000     0.16368 0.018 0.022 0.022
  5.000     6.500     0.11745 0.041 0.025 0.025
