# pt  v2 errv2 syslow syshigh
0.247 0.02733 0.000 0.023 0.023
0.348 0.04523 0.000 0.004 0.004
0.448 0.05935 2e-4 0.0029 0.0029
0.548 0.07263 2e-4 0.0022 0.0022
0.648 0.08502 2e-4 0.0018 0.0018
0.748 0.09651 3e-4 0.0020 0.0020
0.848 0.10742 3e-4 0.0018 0.0018
0.948 0.11793 3e-4 0.0015 0.0015
1.092 0.13156 3e-4 0.0017 0.0017
1.292 0.15004 4e-4 0.0014 0.0014
1.492 0.16604 5e-4 0.0019 0.0019
1.692 0.18107 7e-4 0.0017 0.0017
1.892 0.19290 9e-4 0.0019 0.0019
2.200 0.20640 9e-4 0.0019 0.0019
2.703 0.21859 0.0016 0.0021 0.0021
3.343 0.21843 0.0025 0.0019 0.0019
4.381 0.18342 0.007 0.006 0.006
5.410 0.15970 0.016 0.012 0.012
6.852 0.18703 0.032 0.034 0.034
