# pt  v2 errv2 syslow syshigh
0.247 0.02569 0.000 0.019 0.019
0.348 0.04271 0.000 0.004 0.004
0.448 0.05587 1e-4 0.0026 0.0026
0.548 0.06846 1e-4 0.0022 0.0022
0.648 0.08009 1e-4 0.0019 0.0019
0.748 0.09123 1e-4 0.0018 0.0018
0.848 0.10124 2e-4 0.0019 0.0019
0.948 0.11159 2e-4 0.0015 0.0015
1.092 0.12439 2e-4 0.0015 0.0015
1.292 0.14170 2e-4 0.0014 0.0014
1.492 0.15770 3e-4 0.0018 0.0018
1.692 0.17244 4e-4 0.0017 0.0017
1.892 0.18481 5e-4 0.0017 0.0017
2.200 0.19684 5e-4 0.0016 0.0016
2.703 0.20803 9e-4 0.0014 0.0014
3.343 0.20569 0.0014 0.0021 0.0021
4.381 0.17942 0.004 0.004 0.004
5.410 0.14862 0.009 0.007 0.007
6.852 0.16262 0.018 0.020 0.020
