  pt       v2         errv2    syslow     syshigh 
  0.247    0.02569    0.00009    0.01890    0.01890
  0.348    0.04271    0.00009    0.00368    0.00368
  0.448    0.05587    0.00010    0.00256    0.00256
  0.548    0.06846    0.00011    0.00223    0.00223
  0.648    0.08009    0.00013    0.00191    0.00191
  0.748    0.09123    0.00014    0.00176    0.00176
  0.848    0.10124    0.00016    0.00188    0.00188
  0.948    0.11159    0.00018    0.00153    0.00153
  1.092    0.12439    0.00016    0.00150    0.00150
  1.292    0.14170    0.00020    0.00142    0.00142
  1.492    0.15770    0.00027    0.00178    0.00178
  1.692    0.17244    0.00037    0.00168    0.00168
  1.892    0.18481    0.00050    0.00173    0.00173
  2.200    0.19684    0.00049    0.00163    0.00163
  2.703    0.20803    0.00092    0.00144    0.00144
  3.343    0.20569    0.00141    0.00206    0.00206
  4.381    0.17942    0.00371    0.00372    0.00372
  5.410    0.14862    0.00877    0.00663    0.00663
  6.852    0.16262    0.01770    0.02020    0.02020
