# pt  v2 errv2 syslow syshigh
0.247 0.02367 0.000 0.014 0.014
0.348 0.03981 0.000 0.004 0.004
0.448 0.05138 1e-4 0.0031 0.0031
0.548 0.06250 2e-4 0.0030 0.0030
0.648 0.07276 2e-4 0.0027 0.0027
0.748 0.08298 2e-4 0.0022 0.0022
0.848 0.09184 2e-4 0.0022 0.0022
0.948 0.10139 2e-4 0.0020 0.0020
1.092 0.11279 2e-4 0.0020 0.0020
1.292 0.12862 3e-4 0.0018 0.0018
1.492 0.14459 4e-4 0.0020 0.0020
1.692 0.15864 5e-4 0.0019 0.0019
1.892 0.17169 7e-4 0.0019 0.0019
2.200 0.18437 7e-4 0.0018 0.0018
2.703 0.19554 0.0012 0.0022 0.0022
3.343 0.19585 0.0019 0.0025 0.0025
4.381 0.18189 0.005 0.005 0.005
5.410 0.14502 0.012 0.010 0.010
6.852 0.15856 0.025 0.018 0.018
