# dphi(rad)_low dphi(rad)_high C(dphi) stat.
0.000000 0.261799 1.0514 0.0021
0.261799 0.523599 1.0297 0.0021
0.523599 0.785398 0.9895 0.0023
0.785398 1.047198 0.9522 0.0027
1.047198 1.308997 0.9351 0.0032
1.308997 1.570796 0.929 0.004
1.570796 1.832596 0.9370 0.0032
1.832596 2.094395 0.9587 0.0028
2.094395 2.356194 0.9793 0.0027
2.356194 2.617994 1.0055 0.0026
2.617994 2.879793 1.0243 0.0025
2.879793 3.141593 1.0325 0.0025
