low	high	yield	stat	sys
0.60	0.70	5.44E-02	3.27E-04	5.11E-02
0.70	0.80	3.42E-02	2.37E-04	3.21E-02
0.80	0.90	2.20E-02	1.71E-04	2.07E-02
0.90	1.00	1.47E-02	1.30E-04	1.37E-02
1.00	1.10	9.96E-03	1.01E-04	9.34E-03
1.10	1.20	6.79E-03	7.82E-05	6.37E-03
1.20	1.30	4.83E-03	6.35E-05	4.53E-03
1.30	1.40	3.35E-03	4.95E-05	3.15E-03
1.40	1.50	2.32E-03	3.84E-05	2.18E-03
1.50	1.60	1.71E-03	3.17E-05	1.60E-03
1.60	1.70	1.25E-03	2.67E-05	1.17E-03
1.70	1.80	9.54E-04	2.25E-05	8.95E-04
1.80	1.90	7.07E-04	1.89E-05	6.63E-04
1.90	2.00	5.26E-04	1.60E-05	4.93E-04
2.00	2.10	3.73E-04	1.21E-05	3.51E-04
2.10	2.20	2.99E-04	1.15E-05	2.80E-04
2.20	2.30	2.24E-04	9.25E-06	2.10E-04
2.30	2.40	1.62E-04	7.72E-06	1.52E-04
2.40	2.50	1.32E-04	6.74E-06	1.24E-04
2.50	2.60	9.46E-05	5.67E-06	8.88E-05
2.60	2.70	7.59E-05	5.01E-06	7.13E-05
2.70	2.80	6.08E-05	4.19E-06	5.71E-05
2.80	2.90	4.74E-05	3.70E-06	4.44E-05
2.90	3.00	3.67E-05	3.04E-06	3.44E-05
3.00	3.10	2.79E-05	2.55E-06	2.62E-05
3.10	3.20	2.28E-05	2.72E-06	2.14E-05
3.20	3.30	1.80E-05	2.10E-06	1.69E-05
3.30	3.40	1.52E-05	1.94E-06	1.42E-05
3.40	3.50	1.03E-05	1.29E-06	9.70E-06
3.50	3.60	9.08E-06	1.66E-06	8.52E-06
3.60	3.70	6.79E-06	1.35E-06	6.41E-06
3.70	3.80	7.33E-06	1.42E-06	6.89E-06
3.80	3.90	5.39E-06	1.06E-06	5.18E-06
3.90	4.00	3.50E-06	7.51E-07	3.33E-06
4.00	4.10	3.31E-06	6.62E-07	3.10E-06
4.10	4.20	3.50E-06	9.39E-07	3.39E-06
4.20	4.30	1.72E-06	4.45E-07	1.62E-06
4.30	4.40	1.11E-06	5.90E-07	1.22E-06
4.40	4.50	1.43E-06	5.15E-07	1.54E-06
4.50	4.60	1.74E-06	6.29E-07	1.71E-06
4.60	4.70	1.61E-06	7.42E-07	1.54E-06
4.70	4.90	5.03E-07	3.57E-07	6.35E-07
4.90	5.50	2.53E-07	8.31E-08	3.62E-07
5.75	6.5	    1.58E-07	6.31E-08	1.89E-07
