low	high	yield	stat	sys
0.60	0.70	9.93E+00	8.73E-02	9.69E-02
0.70	0.80	6.22E+00	6.25E-02	6.06E-02
0.80	0.90	4.04E+00	4.65E-02	3.94E-02
0.90	1.00	2.80E+00	3.60E-02	2.73E-02
1.00	1.10	1.93E+00	2.81E-02	1.88E-02
1.10	1.20	1.35E+00	2.23E-02	1.31E-02
1.20	1.30	9.37E-01	1.76E-02	9.15E-03
1.30	1.40	6.84E-01	1.44E-02	6.67E-03
1.40	1.50	4.85E-01	1.16E-02	4.73E-03
1.50	1.60	3.55E-01	9.58E-03	3.46E-03
1.60	1.70	2.63E-01	7.97E-03	2.56E-03
1.70	1.80	2.00E-01	6.77E-03	1.96E-03
1.80	1.90	1.55E-01	5.75E-03	1.51E-03
1.90	2.00	1.11E-01	4.74E-03	1.08E-03
2.00	2.10	8.53E-02	3.99E-03	8.33E-04
2.10	2.20	6.39E-02	3.37E-03	6.24E-04
2.20	2.30	4.85E-02	2.87E-03	4.73E-04
2.30	2.40	4.04E-02	2.56E-03	3.94E-04
2.40	2.50	2.95E-02	2.17E-03	2.87E-04
2.50	2.60	2.02E-02	1.74E-03	1.97E-04
2.60	2.70	1.65E-02	1.52E-03	1.62E-04
2.70	2.80	1.41E-02	1.39E-03	1.38E-04
2.80	2.90	1.02E-02	1.16E-03	9.93E-05
2.90	3.00	8.46E-03	1.04E-03	8.26E-05
3.00	3.10	8.23E-03	1.01E-03	8.03E-05
3.10	3.20	3.24E-03	6.28E-04	3.19E-05
3.20	3.30	4.18E-03	7.16E-04	4.08E-05
3.30	3.40	3.10E-03	5.88E-04	3.09E-05
3.40	3.50	2.32E-03	4.95E-04	2.26E-05
3.50	3.60	2.06E-03	4.60E-04	2.00E-05
3.60	3.70	1.60E-03	3.99E-04	1.56E-05
3.70	3.80	9.57E-04	3.02E-04	9.32E-06
3.80	3.90	9.05E-04	2.78E-04	1.15E-05
3.90	4.00	1.55E-03	3.75E-04	1.51E-05
4.00	4.10	8.18E-04	2.72E-04	7.98E-06
4.10	4.20	8.83E-04	2.79E-04	8.61E-06
4.20	4.30	6.06E-04	2.28E-04	5.91E-06
4.30	4.40	6.59E-04	2.33E-04	6.43E-06
4.40	4.50	3.78E-04	2.60E-04	4.02E-06
4.50	4.60	3.70E-04	2.56E-04	3.93E-06
4.60	4.75	3.78E-04	1.45E-04	4.43E-06
4.75	5.25	1.43E-04	9.43E-05	1.46E-06
