low	high	yield	stat	sys
0.60	0.70	3.13E-03	1.30E-05	3.10E-02
0.70	0.80	1.89E-03	9.18E-06	1.88E-02
0.80	0.90	1.20E-03	6.75E-06	1.19E-02
0.90	1.00	7.72E-04	5.04E-06	7.65E-03
1.00	1.10	5.04E-04	3.83E-06	4.99E-03
1.10	1.20	3.40E-04	2.98E-06	3.37E-03
1.20	1.30	2.29E-04	2.32E-06	2.27E-03
1.30	1.40	1.62E-04	1.87E-06	1.61E-03
1.40	1.50	1.12E-04	1.48E-06	1.11E-03
1.50	1.60	8.05E-05	1.21E-06	7.98E-04
1.60	1.70	5.91E-05	1.00E-06	5.86E-04
1.70	1.80	4.26E-05	8.31E-07	4.23E-04
1.80	1.90	3.09E-05	6.84E-07	3.07E-04
1.90	2.00	2.33E-05	5.78E-07	2.31E-04
2.00	2.10	1.70E-05	4.76E-07	1.69E-04
2.10	2.20	1.27E-05	4.02E-07	1.26E-04
2.20	2.30	9.69E-06	3.40E-07	9.62E-05
2.30	2.40	7.43E-06	2.92E-07	7.38E-05
2.40	2.50	5.85E-06	2.57E-07	5.81E-05
2.50	2.60	4.08E-06	2.08E-07	4.04E-05
2.60	2.70	3.71E-06	1.93E-07	3.68E-05
2.70	2.80	2.67E-06	1.61E-07	2.65E-05
2.80	2.90	1.95E-06	1.34E-07	1.94E-05
2.90	3.00	1.61E-06	1.19E-07	1.60E-05
3.00	3.10	1.28E-06	1.05E-07	1.26E-05
3.10	3.20	7.43E-07	7.81E-08	7.40E-06
3.20	3.30	9.71E-07	8.69E-08	9.68E-06
3.30	3.40	6.92E-07	7.33E-08	6.91E-06
3.40	3.50	4.69E-07	6.01E-08	4.65E-06
3.50	3.60	3.63E-07	5.14E-08	3.62E-06
3.60	3.70	4.19E-07	5.47E-08	4.16E-06
3.70	3.80	2.32E-07	3.85E-08	2.33E-06
3.80	3.90	2.41E-07	4.19E-08	2.41E-06
3.90	4.00	1.90E-07	3.62E-08	1.89E-06
4.00	4.10	1.42E-07	3.09E-08	1.43E-06
4.10	4.20	1.13E-07	2.74E-08	1.15E-06
4.20	4.30	6.86E-08	1.91E-08	7.52E-07
4.30	4.40	8.69E-08	2.60E-08	9.18E-07
4.40	4.50	5.18E-08	1.73E-08	5.15E-07
4.50	4.60	7.75E-08	2.48E-08	8.26E-07
4.60	4.70	7.06E-08	1.96E-08	7.03E-07
4.70	4.80	1.77E-08	1.39E-08	2.21E-07
4.80	4.90	3.30E-08	1.35E-08	4.66E-07
4.90	5.00	2.89E-08	1.92E-08	2.95E-07
5.00	5.50	2.63E-08	4.95E-09	2.73E-07
5.50	6.00	1.41E-08	3.90E-09	1.50E-07
6.00	7.25	2.11E-09	1.24E-09	5.94E-08
7.25	8.50	1.11E-09	4.93E-10	1.27E-08
