low	high	yield	stat	sys
0.60	0.70	4.46E+01	1.20E-01	4.25E-02
0.70	0.80	2.75E+01	8.55E-02	2.62E-02
0.80	0.90	1.78E+01	6.35E-02	1.69E-02
0.90	1.00	1.17E+01	4.79E-02	1.12E-02
1.00	1.10	7.83E+00	3.68E-02	7.45E-03
1.10	1.20	5.37E+00	2.90E-02	5.11E-03
1.20	1.30	3.70E+00	2.28E-02	3.53E-03
1.30	1.40	2.63E+00	1.83E-02	2.50E-03
1.40	1.50	1.84E+00	1.47E-02	1.76E-03
1.50	1.60	1.35E+00	1.21E-02	1.28E-03
1.60	1.70	9.79E-01	9.97E-03	9.32E-04
1.70	1.80	7.36E-01	8.44E-03	7.01E-04
1.80	1.90	5.41E-01	6.98E-03	5.15E-04
1.90	2.00	4.02E-01	5.87E-03	3.82E-04
2.00	2.10	3.00E-01	4.87E-03	2.86E-04
2.10	2.20	2.24E-01	4.12E-03	2.13E-04
2.20	2.30	1.73E-01	3.51E-03	1.64E-04
2.30	2.40	1.30E-01	2.97E-03	1.23E-04
2.40	2.50	1.04E-01	2.63E-03	9.86E-05
2.50	2.60	7.24E-02	2.14E-03	6.90E-05
2.60	2.70	6.07E-02	1.91E-03	5.78E-05
2.70	2.80	4.82E-02	1.66E-03	4.59E-05
2.80	2.90	3.61E-02	1.41E-03	3.44E-05
2.90	3.00	2.95E-02	1.25E-03	2.81E-05
3.00	3.10	2.38E-02	1.10E-03	2.26E-05
3.10	3.20	1.45E-02	8.43E-04	1.38E-05
3.20	3.30	1.51E-02	8.39E-04	1.44E-05
3.30	3.40	1.20E-02	7.40E-04	1.14E-05
3.40	3.50	9.06E-03	6.34E-04	8.63E-06
3.50	3.60	6.47E-03	5.27E-04	6.17E-06
3.60	3.70	5.96E-03	4.97E-04	5.68E-06
3.70	3.80	4.59E-03	4.27E-04	4.38E-06
3.80	3.90	4.10E-03	3.93E-04	3.92E-06
3.90	4.00	3.50E-03	3.66E-04	3.34E-06
4.00	4.10	2.95E-03	3.40E-04	2.82E-06
4.10	4.20	2.41E-03	2.98E-04	2.31E-06
4.20	4.30	1.63E-03	2.51E-04	1.56E-06
4.30	4.40	1.39E-03	2.16E-04	1.34E-06
4.40	4.50	1.14E-03	1.99E-04	1.09E-06
4.50	4.60	1.36E-03	2.14E-04	1.31E-06
4.60	4.70	1.17E-03	1.97E-04	1.13E-06
4.70	4.80	5.62E-04	1.29E-04	5.84E-07
4.80	4.90	6.09E-04	1.31E-04	6.56E-07
4.90	5.00	4.75E-04	1.30E-04	4.64E-07
5.00	5.50	2.99E-04	3.63E-05	3.06E-07
5.50	6.00	1.37E-04	2.49E-05	1.46E-07
6.00	6.50	1.10E-04	2.09E-05	1.23E-07
6.50	7.00	3.12E-05	1.33E-05	3.50E-08
7.00	8.75	1.03E-05	4.70E-06	2.08E-08
